subject	n1	n2	ntrials	ncorrect
3	25	26	10	7
3	26	27	4	2
3	27	28	2	2
3	28	29	1	1
4	1	2	2	2
4	2	3	2	2
4	3	4	2	2
4	4	5	2	2
4	5	6	2	2
4	6	7	2	2
4	7	8	2	2
4	8	9	2	2
4	9	10	2	2
4	10	11	2	2
4	11	12	2	2
4	12	13	4	4
4	13	14	6	5
4	14	15	3	2
4	15	16	2	2
4	16	17	2	2
4	17	18	4	4
4	18	19	9	8
4	19	20	11	8
4	20	21	6	4
4	21	22	2	2
4	22	23	2	2
4	23	24	2	2
4	24	25	2	2
4	25	26	2	2
4	26	27	2	2
4	27	28	4	4
4	28	29	5	4
4	29	30	3	2
4	30	31	2	2
4	31	32	2	2
4	32	33	2	2
4	33	34	1	1
5	1	2	2	2
5	2	3	2	2
5	3	4	2	2
5	4	5	2	2
5	5	6	2	2
5	6	7	2	2
5	7	8	2	2
5	8	9	2	2
5	9	10	4	4
5	10	11	5	4
5	11	12	6	5
5	12	13	3	2
5	13	14	2	2
5	14	15	2	2
5	15	16	4	4
5	16	17	4	3
5	17	18	2	2
5	18	19	2	2
5	19	20	4	4
5	20	21	6	5
5	21	22	7	6
5	22	23	6	4
5	23	24	5	4
5	24	25	5	4
5	25	26	12	11
5	26	27	5	0
6	1	2	2	2
6	2	3	2	2
6	3	4	2	2
6	4	5	2	2
6	5	6	2	2
6	6	7	2	2
6	7	8	2	2
6	8	9	2	2
6	9	10	2	2
6	10	11	6	6
6	11	12	5	3
6	12	13	2	2
6	13	14	2	2
6	14	15	2	2
6	15	16	2	2
6	16	17	2	2
6	17	18	6	6
6	18	19	4	2
6	19	20	4	4
6	20	21	6	5
6	21	22	3	2
6	22	23	2	2
6	23	24	2	2
6	24	25	2	2
6	25	26	2	2
6	26	27	2	2
6	27	28	9	9
6	28	29	10	6
6	29	30	7	5
6	30	31	2	0
7	1	2	2	2
7	2	3	2	2
7	3	4	2	2
7	4	5	2	2
7	5	6	2	2
7	6	7	2	2
7	7	8	2	2
7	8	9	2	2
7	9	10	2	2
7	10	11	2	2
7	11	12	2	2
7	12	13	2	2
7	13	14	2	2
7	14	15	2	2
7	15	16	2	2
7	16	17	4	4
7	17	18	7	6
7	18	19	8	6
7	19	20	4	3
7	20	21	2	2
7	21	22	2	2
7	22	23	4	4
7	23	24	9	8
7	24	25	14	11
7	25	26	11	7
7	26	27	5	2
8	1	2	2	2
8	2	3	2	2
8	3	4	2	2
8	4	5	2	2
8	5	6	2	2
8	6	7	2	2
8	7	8	2	2
8	8	9	2	2
8	9	10	2	2
8	10	11	2	2
8	11	12	2	2
8	12	13	2	2
8	13	14	2	2
8	14	15	4	4
8	15	16	3	2
8	16	17	6	6
8	17	18	7	5
8	18	19	5	4
8	19	20	6	5
8	20	21	4	3
8	21	22	2	2
8	22	23	4	4
8	23	24	6	5
8	24	25	8	7
8	25	26	12	10
8	26	27	7	3
9	1	2	2	2
9	2	3	2	2
9	3	4	2	2
9	4	5	2	2
9	5	6	2	2
9	6	7	2	2
9	7	8	2	2
9	8	9	2	2
9	9	10	2	2
9	10	11	2	2
9	11	12	2	2
9	12	13	4	4
9	13	14	4	3
9	14	15	2	2
9	15	16	2	2
9	16	17	2	2
9	17	18	4	4
9	18	19	9	8
9	19	20	10	7
9	20	21	9	7
9	21	22	8	6
9	22	23	9	8
9	23	24	11	7
9	24	25	4	1
10	1	2	2	2
10	2	3	2	2
10	3	4	2	2
10	4	5	2	2
10	5	6	4	4
10	6	7	3	2
10	7	8	2	2
10	8	9	4	4
10	9	10	9	8
10	10	11	5	2
10	11	12	4	4
10	12	13	4	3
10	13	14	6	6
10	14	15	8	6
10	15	16	11	10
10	16	17	16	12
10	17	18	11	7
10	18	19	3	2
10	19	20	2	1
11	1	2	2	2
11	2	3	2	2
11	3	4	2	2
11	4	5	2	2
11	5	6	2	2
11	6	7	2	2
11	7	8	2	2
11	8	9	2	2
11	9	10	2	2
11	10	11	4	4
11	11	12	3	2
11	12	13	8	8
11	13	14	13	10
11	14	15	11	8
11	15	16	5	3
11	16	17	2	2
11	17	18	8	8
11	18	19	14	11
11	19	20	11	7
11	20	21	3	1
12	1	2	2	2
12	2	3	2	2
12	3	4	2	2
12	4	5	2	2
12	5	6	2	2
12	6	7	4	4
12	7	8	5	4
12	8	9	6	5
12	9	10	4	3
12	10	11	6	6
12	11	12	5	3
12	12	13	4	4
12	13	14	10	9
12	14	15	9	6
12	15	16	7	6
12	16	17	6	4
12	17	18	3	2
12	18	19	2	2
12	19	20	4	4
12	20	21	8	7
12	21	22	6	4
12	22	23	1	0
13	1	2	2	2
13	2	3	2	2
13	3	4	2	2
13	4	5	2	2
13	5	6	2	2
13	6	7	2	2
13	7	8	4	4
13	8	9	4	3
13	9	10	2	2
13	10	11	2	2
13	11	12	2	2
13	12	13	2	2
13	13	14	6	6
13	14	15	5	3
13	15	16	6	6
13	16	17	6	4
13	17	18	4	2
13	18	19	8	7
13	19	20	13	10
13	20	21	7	3
13	21	22	4	3
13	22	23	7	6
13	23	24	5	2
13	24	25	1	0
14	1	2	2	2
14	2	3	2	2
14	3	4	2	2
14	4	5	2	2
14	5	6	4	4
14	6	7	8	7
14	7	8	6	4
14	8	9	4	4
14	9	10	6	5
14	10	11	3	2
14	11	12	4	4
14	12	13	5	4
14	13	14	3	2
14	14	15	4	4
14	15	16	8	7
14	16	17	9	7
14	17	18	4	2
14	18	19	4	4
14	19	20	4	3
14	20	21	2	2
14	21	22	2	2
14	22	23	2	2
14	23	24	5	4
14	24	25	4	2
14	25	26	1	0
15	1	2	2	2
15	2	3	2	2
15	3	4	2	2
15	4	5	2	2
15	5	6	2	2
15	6	7	2	2
15	7	8	2	2
15	8	9	2	2
15	9	10	6	6
15	10	11	11	9
15	11	12	12	9
15	12	13	6	3
15	13	14	8	8
15	14	15	11	8
15	15	16	7	4
15	16	17	4	4
15	17	18	6	5
15	18	19	6	5
15	19	20	3	2
15	20	21	3	3
15	21	22	1	0
16	1	2	2	2
16	2	3	2	2
16	3	4	2	2
16	4	5	2	2
16	5	6	2	2
16	6	7	2	2
16	7	8	6	6
16	8	9	8	6
16	9	10	9	8
16	10	11	9	6
16	11	12	6	5
16	12	13	4	3
16	13	14	2	2
16	14	15	2	2
16	15	16	4	4
16	16	17	3	2
16	17	18	2	2
16	18	19	2	2
16	19	20	2	2
16	20	21	2	2
16	21	22	4	4
16	22	23	3	2
16	23	24	7	6
16	24	25	9	6
16	25	26	4	2
17	1	2	2	2
17	2	3	2	2
17	3	4	2	2
17	4	5	2	2
17	5	6	2	2
17	6	7	2	2
17	7	8	4	4
17	8	9	3	2
17	9	10	2	2
17	10	11	2	2
17	11	12	4	4
17	12	13	5	4
17	13	14	3	2
17	14	15	2	2
17	15	16	2	2
17	16	17	2	2
17	17	18	2	2
17	18	19	6	6
17	19	20	15	13
17	20	21	15	10
17	21	22	6	3
17	22	23	2	2
17	23	24	2	2
17	24	25	2	2
17	25	26	2	2
17	26	27	2	2
17	27	28	2	2
17	28	29	2	2
17	29	30	1	1
18	1	2	2	2
18	2	3	2	2
18	3	4	2	2
18	4	5	2	2
18	5	6	2	2
18	6	7	2	2
18	7	8	2	2
18	8	9	2	2
18	9	10	2	2
18	10	11	2	2
18	11	12	2	2
18	12	13	6	6
18	13	14	7	5
18	14	15	5	4
18	15	16	8	7
18	16	17	6	3
18	17	18	14	13
18	18	19	21	15
18	19	20	9	4
18	20	21	2	1
19	1	2	2	2
19	2	3	2	2
19	3	4	2	2
19	4	5	4	4
19	5	6	5	4
19	6	7	7	6
19	7	8	14	12
19	8	9	9	5
19	9	10	3	2
19	10	11	2	2
19	11	12	6	6
19	12	13	13	11
19	13	14	10	6
19	14	15	10	9
19	15	16	9	5
19	16	17	2	1
20	1	2	2	2
20	2	3	4	4
20	3	4	6	5
20	4	5	5	4
20	5	6	9	8
20	6	7	15	12
20	7	8	14	10
20	8	9	13	9
20	9	10	16	13
20	10	11	13	7
20	11	12	3	1
21	1	2	2	2
21	2	3	2	2
21	3	4	2	2
21	4	5	2	2
21	5	6	8	8
21	6	7	15	12
21	7	8	20	16
21	8	9	21	15
21	9	10	19	13
21	10	11	8	3
21	11	12	1	0
22	1	2	2	2
22	2	3	2	2
22	3	4	4	4
22	4	5	9	8
22	5	6	9	6
22	6	7	7	6
22	7	8	16	14
22	8	9	18	12
22	9	10	12	8
22	10	11	12	10
22	11	12	8	5
22	12	13	1	0
23	1	2	2	2
23	2	3	4	4
23	3	4	8	7
23	4	5	5	3
23	5	6	2	2
23	6	7	4	4
23	7	8	11	10
23	8	9	14	10
23	9	10	5	2
23	10	11	2	2
23	11	12	8	8
23	12	13	14	11
23	13	14	9	5
23	14	15	6	4
23	15	16	4	3
23	16	17	2	1
24	1	2	2	2
24	2	3	4	4
24	3	4	3	2
24	4	5	6	6
24	5	6	9	7
24	6	7	11	9
24	7	8	25	21
24	8	9	21	12
24	9	10	7	4
24	10	11	4	2
24	11	12	3	2
24	12	13	4	3
24	13	14	1	0
25	1	2	2	2
25	2	3	4	4
25	3	4	9	8
25	4	5	15	12
25	5	6	22	18
25	6	7	17	9
25	7	8	8	5
25	8	9	7	5
25	9	10	6	4
25	10	11	8	6
25	11	12	2	0
26	1	2	2	2
26	2	3	2	2
26	3	4	2	2
26	4	5	2	2
26	5	6	2	2
26	6	7	4	4
26	7	8	6	5
26	8	9	11	10
26	9	10	14	10
26	10	11	14	10
26	11	12	15	11
26	12	13	14	10
26	13	14	9	5
26	14	15	3	1
27	1	2	2	2
27	2	3	2	2
27	3	4	4	4
27	4	5	5	4
27	5	6	4	3
27	6	7	6	6
27	7	8	11	9
27	8	9	23	20
27	9	10	28	19
27	10	11	12	6
27	11	12	3	1
28	1	2	2	2
28	2	3	2	2
28	3	4	2	2
28	4	5	6	6
28	5	6	8	6
28	6	7	13	12
28	7	8	16	11
28	8	9	5	2
28	9	10	6	6
28	10	11	8	5
28	11	12	14	12
28	12	13	12	7
28	13	14	4	2
28	14	15	2	1
29	1	2	2	2
29	2	3	2	2
29	3	4	8	8
29	4	5	16	13
29	5	6	18	13
29	6	7	20	15
29	7	8	22	16
29	8	9	11	4
29	9	10	1	0
30	1	2	4	4
30	2	3	5	4
30	3	4	9	8
30	4	5	8	5
30	5	6	6	5
30	6	7	10	9
30	7	8	7	4
30	8	9	13	11
30	9	10	19	14
30	10	11	11	5
30	11	12	6	4
30	12	13	2	0
31	1	2	2	2
31	2	3	2	2
31	3	4	4	4
31	4	5	3	2
31	5	6	4	4
31	6	7	22	21
31	7	8	26	17
31	8	9	19	12
31	9	10	13	8
31	10	11	5	1
32	1	2	2	2
32	2	3	6	6
32	3	4	10	8
32	4	5	18	16
32	5	6	18	12
32	6	7	18	14
32	7	8	14	9
32	8	9	7	4
32	9	10	2	2
32	10	11	2	2
32	11	12	2	2
32	12	13	1	0
33	1	2	8	8
33	2	3	16	13
33	3	4	22	17
33	4	5	13	6
33	5	6	12	10
33	6	7	11	6
33	7	8	8	6
33	8	9	6	3
33	9	10	3	2
33	10	11	1	0
34	1	2	6	5
34	2	3	13	12
34	3	4	25	20
34	4	5	16	9
34	5	6	7	5
34	6	7	10	8
34	7	8	11	7
34	8	9	8	5
34	9	10	4	2
35	1	2	2	2
35	2	3	2	2
35	3	4	6	6
35	4	5	10	8
35	5	6	14	12
35	6	7	23	18
35	7	8	15	9
35	8	9	11	8
35	9	10	6	3
35	10	11	7	6
35	11	12	4	1
36	1	2	2	2
36	2	3	6	6
36	3	4	7	5
36	4	5	9	8
36	5	6	11	7
36	6	7	11	8
36	7	8	11	8
36	8	9	14	11
36	9	10	13	8
36	10	11	9	6
36	11	12	5	3
36	12	13	2	1
37	1	2	12	12
37	2	3	13	8
37	3	4	8	6
37	4	5	13	11
37	5	6	24	19
37	6	7	18	10
37	7	8	7	3
37	8	9	3	2
37	9	10	2	1
38	1	2	10	10
38	2	3	14	10
38	3	4	18	15
38	4	5	23	17
38	5	6	15	10
38	6	7	6	3
38	7	8	2	2
38	8	9	2	2
38	9	10	2	2
38	10	11	2	2
38	11	12	2	2
38	12	13	3	3
38	13	14	1	0
39	1	2	8	8
39	2	3	22	19
39	3	4	24	17
39	4	5	24	18
39	5	6	18	10
39	6	7	4	1
40	1	2	10	10
40	2	3	20	16
40	3	4	17	11
40	4	5	15	11
40	5	6	20	16
40	6	7	12	6
40	7	8	4	2
40	8	9	2	1
41	1	2	2	2
41	2	3	14	14
41	3	4	24	18
41	4	5	22	14
41	5	6	14	10
41	6	7	7	5
41	7	8	3	2
41	8	9	2	2
41	9	10	6	6
41	10	11	6	3
42	1	2	2	2
42	2	3	4	4
42	3	4	6	5
42	4	5	4	3
42	5	6	6	6
42	6	7	26	24
42	7	8	27	16
42	8	9	16	10
42	9	10	7	3
42	10	11	2	1
43	1	2	10	10
43	2	3	23	19
43	3	4	25	17
43	4	5	18	12
43	5	6	9	5
43	6	7	7	6
43	7	8	7	4
43	8	9	1	0
44	1	2	10	10
44	2	3	16	12
44	3	4	15	11
44	4	5	16	13
44	5	6	18	12
44	6	7	15	10
44	7	8	9	4
44	8	9	1	0
45	1	2	4	4
45	2	3	22	21
45	3	4	25	16
45	4	5	18	13
45	5	6	13	8
45	6	7	9	7
45	7	8	7	4
45	8	9	2	1
46	1	2	2	2
46	2	3	4	4
46	3	4	12	11
46	4	5	15	10
46	5	6	12	8
46	6	7	10	7
46	7	8	16	13
46	8	9	11	5
46	9	10	7	5
46	10	11	8	6
46	11	12	3	1
47	1	2	6	6
47	2	3	18	16
47	3	4	25	18
47	4	5	25	17
47	5	6	15	8
47	6	7	8	6
47	7	8	3	1
48	1	2	2	2
48	2	3	8	8
48	3	4	17	14
48	4	5	28	22
48	5	6	26	17
48	6	7	13	6
48	7	8	4	3
48	8	9	2	1
49	1	2	4	4
49	2	3	5	4
49	3	4	15	14
49	4	5	16	10
49	5	6	10	8
49	6	7	8	6
49	7	8	11	10
49	8	9	16	12
49	9	10	11	7
49	10	11	4	2
50	1	2	25	23
50	2	3	26	16
50	3	4	22	16
50	4	5	16	10
50	5	6	4	2
50	6	7	4	4
50	7	8	3	2
51	1	2	18	16
51	2	3	23	17
51	3	4	20	14
51	4	5	12	7
51	5	6	4	3
51	6	7	12	12
51	7	8	7	2
51	8	9	3	2
51	9	10	1	0
52	1	2	11	11
52	2	3	17	12
52	3	4	15	11
52	4	5	20	16
52	5	6	19	12
52	6	7	9	4
52	7	8	4	3
52	8	9	4	3
52	9	10	1	0
53	1	2	5	4
53	2	3	14	13
53	3	4	22	17
53	4	5	31	24
53	5	6	16	7
53	6	7	4	3
53	7	8	3	2
53	8	9	3	2
53	9	10	2	1
54	1	2	10	10
54	2	3	16	12
54	3	4	13	9
54	4	5	14	11
54	5	6	23	18
54	6	7	17	9
54	7	8	5	2
54	8	9	2	1
55	1	2	10	9
55	2	3	22	19
55	3	4	21	13
55	4	5	12	8
55	5	6	5	3
55	6	7	4	4
55	7	8	6	5
55	8	9	5	4
55	9	10	6	5
55	10	11	3	2
55	11	12	2	2
55	12	13	2	2
55	13	14	2	2
56	1	2	15	14
56	2	3	33	26
56	3	4	23	13
56	4	5	13	8
56	5	6	7	4
56	6	7	6	5
56	7	8	3	1
57	1	2	16	14
57	2	3	26	20
57	3	4	18	10
57	4	5	10	7
57	5	6	13	11
57	6	7	13	8
57	7	8	4	1
58	1	2	2	2
58	2	3	4	4
58	3	4	5	4
58	4	5	6	5
58	5	6	5	4
58	6	7	5	4
58	7	8	9	8
58	8	9	9	6
58	9	10	3	2
58	10	11	6	6
58	11	12	6	4
58	12	13	7	6
58	13	14	16	13
58	14	15	13	7
58	15	16	4	2
59	1	2	8	8
59	2	3	8	5
59	3	4	9	8
59	4	5	15	12
59	5	6	10	6
59	6	7	11	8
59	7	8	6	3
59	8	9	8	7
59	9	10	14	11
59	10	11	9	5
59	11	12	2	0
60	1	2	16	15
60	2	3	29	23
60	3	4	28	19
60	4	5	18	11
60	5	6	6	3
60	6	7	2	2
60	7	8	1	1
61	1	2	8	6
61	2	3	11	10
61	3	4	10	6
61	4	5	10	8
61	5	6	16	13
61	6	7	18	13
61	7	8	15	10
61	8	9	9	5
61	9	10	3	1
62	1	2	14	14
62	2	3	12	6
62	3	4	3	2
62	4	5	6	6
62	5	6	4	2
62	6	7	10	10
62	7	8	14	10
62	8	9	13	9
62	9	10	12	9
62	10	11	7	3
62	11	12	4	3
62	12	13	1	0
63	1	2	10	8
63	2	3	19	16
63	3	4	18	11
63	4	5	25	21
63	5	6	20	11
63	6	7	7	4
63	7	8	1	0
64	1	2	17	13
64	2	3	19	15
64	3	4	18	13
64	4	5	12	7
64	5	6	9	7
64	6	7	13	10
64	7	8	9	4
64	8	9	3	1
65	1	2	19	16
65	2	3	25	19
65	3	4	30	21
65	4	5	18	10
65	5	6	6	3
65	6	7	2	1
66	1	2	28	25
66	2	3	40	29
66	3	4	24	12
66	4	5	7	4
66	5	6	1	0
67	1	2	13	11
67	2	3	21	17
67	3	4	27	20
67	4	5	28	21
67	5	6	11	3
68	1	2	14	12
68	2	3	18	14
68	3	4	22	16
68	4	5	13	7
68	5	6	4	3
68	6	7	3	2
68	7	8	5	4
68	8	9	6	4
68	9	10	8	6
68	10	11	6	3
68	11	12	1	0
69	1	2	9	6
69	2	3	14	12
69	3	4	22	17
69	4	5	23	16
69	5	6	15	10
69	6	7	14	10
69	7	8	3	0
70	1	2	25	22
70	2	3	24	15
70	3	4	16	12
70	4	5	11	7
70	5	6	8	5
70	6	7	7	5
70	7	8	6	4
70	8	9	3	1
71	1	2	10	9
71	2	3	27	24
71	3	4	29	19
71	4	5	19	12
71	5	6	10	6
71	6	7	5	2
72	1	2	35	27
72	2	3	34	24
72	3	4	21	11
72	4	5	6	3
72	5	6	3	2
72	6	7	1	0
73	1	2	15	11
73	2	3	11	7
73	3	4	10	8
73	4	5	11	8
73	5	6	10	7
73	6	7	9	6
73	7	8	11	8
73	8	9	9	6
73	9	10	8	5
73	10	11	5	3
73	11	12	1	0
74	1	2	32	26
74	2	3	36	25
74	3	4	19	11
74	4	5	10	6
74	5	6	3	1
75	1	2	7	5
75	2	3	11	9
75	3	4	19	15
75	4	5	12	5
75	5	6	5	4
75	6	7	10	8
75	7	8	8	4
75	8	9	5	4
75	9	10	9	7
75	10	11	8	5
75	11	12	4	2
75	12	13	2	1
76	1	2	29	25
76	2	3	27	15
76	3	4	23	17
76	4	5	14	7
76	5	6	5	3
76	6	7	2	1
77	1	2	21	18
77	2	3	22	15
77	3	4	20	14
77	4	5	18	13
77	5	6	13	8
77	6	7	5	3
77	7	8	1	1
78	1	2	28	19
78	2	3	27	21
78	3	4	24	15
78	4	5	14	8
78	5	6	5	2
78	6	7	2	1
79	1	2	16	14
79	2	3	24	18
79	3	4	21	13
79	4	5	19	15
79	5	6	12	6
79	6	7	4	3
79	7	8	3	2
79	8	9	1	0
80	1	2	14	12
80	2	3	27	22
80	3	4	27	16
80	4	5	19	13
80	5	6	11	5
80	6	7	2	0
81	1	2	24	22
81	2	3	34	25
81	3	4	27	16
81	4	5	12	6
81	5	6	3	1
82	1	2	18	14
82	2	3	22	16
82	3	4	23	15
82	4	5	18	12
82	5	6	15	10
82	6	7	4	0
83	1	2	31	21
83	2	3	33	25
83	3	4	25	15
83	4	5	9	4
83	5	6	2	1
84	1	2	35	29
84	2	3	34	22
84	3	4	18	11
84	4	5	9	5
84	5	6	4	2
85	1	2	14	9
85	2	3	13	11
85	3	4	14	9
85	4	5	10	7
85	5	6	12	9
85	6	7	19	15
85	7	8	13	7
85	8	9	5	2
86	1	2	22	18
86	2	3	29	21
86	3	4	23	15
86	4	5	19	14
86	5	6	7	2
87	1	2	25	21
87	2	3	31	23
87	3	4	22	13
87	4	5	16	12
87	5	6	6	1
88	1	2	44	33
88	2	3	34	20
88	3	4	14	7
88	4	5	6	4
88	5	6	2	1
89	1	2	9	8
89	2	3	26	23
89	3	4	26	16
89	4	5	17	11
89	5	6	14	11
89	6	7	8	3
90	1	2	14	12
90	2	3	25	20
90	3	4	34	25
90	4	5	22	11
90	5	6	5	2
91	1	2	42	30
91	2	3	31	19
91	3	4	19	12
91	4	5	8	3
92	1	2	37	27
92	2	3	38	27
92	3	4	21	10
92	4	5	4	2
93	1	2	22	17
93	2	3	36	30
93	3	4	28	16
93	4	5	10	5
93	5	6	2	2
93	6	7	2	2
94	1	2	16	10
94	2	3	24	20
94	3	4	30	22
94	4	5	14	6
94	5	6	6	5
94	6	7	3	2
94	7	8	5	4
94	8	9	2	0
95	1	2	27	21
95	2	3	31	22
95	3	4	25	17
95	4	5	14	6
95	5	6	3	1
96	1	2	44	35
96	2	3	38	25
96	3	4	16	7
96	4	5	2	0
97	1	2	56	40
97	2	3	35	19
97	3	4	9	3
98	1	2	57	43
98	2	3	36	19
98	3	4	7	2
99	1	2	25	22
99	2	3	26	17
99	3	4	19	12
99	4	5	15	11
99	5	6	13	8
99	6	7	2	0
100	1	2	14	10
100	2	3	10	8
100	3	4	22	18
100	4	5	25	17
100	5	6	16	9
100	6	7	9	7
100	7	8	4	1
101	1	2	37	27
101	2	3	23	13
101	3	4	11	5
101	4	5	6	4
101	5	6	9	7
101	6	7	9	6
101	7	8	4	2
101	8	9	1	0
102	1	2	37	29
102	2	3	32	20
102	3	4	17	10
102	4	5	10	6
102	5	6	4	2
103	1	2	37	25
103	2	3	21	12
103	3	4	15	10
103	4	5	17	13
103	5	6	9	4
103	6	7	1	0
104	1	2	51	38
104	2	3	34	19
104	3	4	12	6
104	4	5	3	1
105	1	2	34	24
105	2	3	31	21
105	3	4	22	15
105	4	5	10	5
105	5	6	3	1
106	1	2	33	24
106	2	3	28	19
106	3	4	25	17
106	4	5	11	6
106	5	6	3	1
107	1	2	29	25
107	2	3	30	19
107	3	4	16	9
107	4	5	12	9
107	5	6	8	4
107	6	7	4	2
107	7	8	1	0
108	1	2	12	11
108	2	3	20	15
108	3	4	23	16
108	4	5	14	8
108	5	6	15	11
108	6	7	11	6
108	7	8	5	2
109	1	2	36	28
109	2	3	34	24
109	3	4	24	16
109	4	5	6	1
110	1	2	39	30
110	2	3	31	18
110	3	4	18	10
110	4	5	9	6
110	5	6	3	0
111	1	2	16	12
111	2	3	19	14
111	3	4	24	18
111	4	5	22	15
111	5	6	13	9
111	6	7	5	2
111	7	8	1	0
112	1	2	37	22
112	2	3	26	18
112	3	4	17	10
112	4	5	14	11
112	5	6	6	1
113	1	2	52	35
113	2	3	31	20
113	3	4	14	7
113	4	5	3	2
114	1	2	16	12
114	2	3	18	14
114	3	4	15	10
114	4	5	16	11
114	5	6	13	8
114	6	7	7	4
114	7	8	8	6
114	8	9	6	3
114	9	10	1	0
115	1	2	41	28
115	2	3	28	16
115	3	4	18	12
115	4	5	9	4
115	5	6	3	2
115	6	7	1	0
116	1	2	29	19
116	2	3	33	25
116	3	4	29	18
116	4	5	9	3
117	1	2	50	35
117	2	3	32	17
117	3	4	14	8
117	4	5	4	2
118	1	2	47	30
118	2	3	33	22
118	3	4	13	5
118	4	5	5	3
118	5	6	2	1
119	1	2	33	23
119	2	3	25	16
119	3	4	24	18
119	4	5	14	7
119	5	6	4	2
120	1	2	49	36
120	2	3	37	22
120	3	4	13	5
120	4	5	1	0
121	1	2	48	34
121	2	3	28	16
121	3	4	14	9
121	4	5	9	5
121	5	6	1	0
122	1	2	45	33
122	2	3	31	18
122	3	4	16	10
122	4	5	6	3
122	5	6	2	1
123	1	2	26	18
123	2	3	26	20
123	3	4	17	7
123	4	5	14	12
123	5	6	9	4
123	6	7	6	4
123	7	8	2	0
124	1	2	29	21
124	2	3	28	20
124	3	4	28	20
124	4	5	13	6
124	5	6	2	0
125	1	2	30	19
125	2	3	19	11
125	3	4	21	16
125	4	5	14	7
125	5	6	7	4
125	6	7	6	4
125	7	8	3	1
126	1	2	61	38
126	2	3	29	17
126	3	4	9	4
126	4	5	1	1
127	1	2	34	23
127	2	3	30	21
127	3	4	16	8
127	4	5	12	8
127	5	6	6	2
127	6	7	2	1
128	1	2	27	20
128	2	3	24	17
128	3	4	17	12
128	4	5	10	6
128	5	6	7	5
128	6	7	5	3
128	7	8	4	3
128	8	9	4	3
128	9	10	2	1
129	1	2	45	28
129	2	3	30	19
129	3	4	18	11
129	4	5	6	3
129	5	6	1	0
130	1	2	24	16
130	2	3	39	34
130	3	4	31	15
130	4	5	5	2
130	5	6	1	0
131	1	2	64	41
131	2	3	27	12
131	3	4	8	4
131	4	5	1	0
132	1	2	48	31
132	2	3	27	15
132	3	4	12	8
132	4	5	10	7
132	5	6	3	0
133	1	2	39	26
133	2	3	41	30
133	3	4	20	6
134	1	2	18	12
134	2	3	23	20
134	3	4	26	16
134	4	5	15	9
134	5	6	13	9
134	6	7	5	2
135	1	2	48	27
135	2	3	21	11
135	3	4	17	13
135	4	5	9	3
135	5	6	3	2
135	6	7	2	1
136	1	2	66	41
136	2	3	28	11
136	3	4	6	2
137	1	2	43	28
137	2	3	33	22
137	3	4	16	7
137	4	5	4	2
137	5	6	3	2
137	6	7	1	0
138	1	2	73	42
138	2	3	24	9
138	3	4	3	1
139	1	2	57	30
139	2	3	31	21
139	3	4	12	3
140	1	2	60	39
140	2	3	30	17
140	3	4	9	3
140	4	5	1	0
141	1	2	52	31
141	2	3	31	19
141	3	4	12	5
141	4	5	4	3
141	5	6	1	0
